#Time[sec]	Frequency[Hz]	Power[(m/s)^2ÅEs]
3.84	48.046875	1.95512775088093E-21
3.84	48.4375	1.38789598357696E-21
3.84	48.828125	1.06255019256434E-21
3.84	49.21875	3.26468282388561E-22
3.84	49.609375	1.06459876166465E-22
3.84	50	8.57941252863531E-23
6.4	0	1.28564704627151E-16
6.4	0.390625	5.01697687876662E-15
6.4	0.78125	1.52613601909873E-15
6.4	1.171875	7.21822579355208E-16
6.4	1.5625	3.00823679994575E-16
6.4	1.953125	8.87031897179875E-17
6.4	2.34375	1.58740286402662E-16
6.4	2.734375	2.59419818396666E-17
6.4	3.125	6.69898513190577E-18
6.4	3.515625	5.99624504948401E-17
6.4	3.90625	5.38719132943894E-18
6.4	4.296875	2.35734987972027E-17
6.4	4.6875	1.17839739778108E-18
6.4	5.078125	1.10166301251389E-17
6.4	5.46875	1.56105672520511E-17
6.4	5.859375	2.06890942077647E-17
6.4	6.25	7.51281935898472E-20
6.4	6.640625	3.643694676076E-17
6.4	7.03125	2.76791701540877E-17
6.4	7.421875	1.81464126835013E-17
6.4	7.8125	1.97210247204401E-17
6.4	8.203125	8.10177203034707E-18
6.4	8.59375	3.9304842683753E-18
6.4	8.984375	6.10896632649674E-18
6.4	9.375	7.80829165398488E-18
6.4	9.765625	1.08176128237354E-18
6.4	10.15625	4.23329758015779E-18
6.4	10.546875	5.93559897020775E-18
6.4	10.9375	5.07885653351687E-18
6.4	11.328125	7.36240538710314E-19
6.4	11.71875	7.10941561736047E-18
6.4	12.109375	1.02575094901719E-17
6.4	12.5	1.18692226725046E-17
6.4	12.890625	6.86974993242093E-18
6.4	13.28125	5.44551028891635E-18
6.4	13.671875	3.18619275307457E-18
6.4	14.0625	1.69303415022854E-18
6.4	14.453125	7.74827553181748E-18
6.4	14.84375	7.08684665825827E-18
6.4	15.234375	3.83653996339472E-18
6.4	15.625	1.53120456195341E-18
6.4	16.015625	3.12498052225647E-18
6.4	16.40625	4.21361111709032E-19
6.4	16.796875	1.25870340081259E-18
6.4	17.1875	2.53229890647631E-18
6.4	17.578125	7.82290530394009E-18
6.4	17.96875	5.08801256112036E-18
6.4	18.359375	3.64683023338514E-19
6.4	18.75	5.97341016151618E-18
6.4	19.140625	9.75018721314805E-19
6.4	19.53125	4.468645337323E-18
6.4	19.921875	1.33614979427207E-18
6.4	20.3125	3.43318001361834E-18
6.4	20.703125	6.43362230038447E-18
6.4	21.09375	7.14435593341092E-18
6.4	21.484375	3.19437728197279E-18
6.4	21.875	7.05067367915949E-19
6.4	22.265625	2.85940864596284E-18
6.4	22.65625	9.36702147199654E-18
6.4	23.046875	1.54227756558415E-18
6.4	23.4375	2.59936899860192E-18
6.4	23.828125	2.90521219578783E-19
6.4	24.21875	2.27456653264919E-18
6.4	24.609375	9.44203082893581E-20
6.4	25	3.7560850807082E-18
6.4	25.390625	2.45708563935715E-18
6.4	25.78125	2.89866812027052E-18
6.4	26.171875	6.39460784391239E-18
6.4	26.5625	1.38484661140947E-17
6.4	26.953125	8.66001758197679E-18
6.4	27.34375	1.88862707201977E-18
6.4	27.734375	3.4930844289549E-18
6.4	28.125	6.96787942965692E-18
6.4	28.515625	4.33014491161561E-18
6.4	28.90625	7.21015952800495E-20
6.4	29.296875	3.59351559207152E-18
6.4	29.6875	1.5715534493125E-18
6.4	30.078125	2.79376749673506E-18
6.4	30.46875	4.06949140324492E-19
6.4	30.859375	5.45914247560122E-18
6.4	31.25	2.0934915898711E-17
6.4	31.640625	2.56159167342399E-18
6.4	32.03125	1.08191607070834E-18
6.4	32.421875	6.21263565252416E-18
6.4	32.8125	3.09179768989904E-18
6.4	33.203125	1.76564045199221E-18
6.4	33.59375	1.46991256744466E-18
6.4	33.984375	2.09320059288465E-18
6.4	34.375	2.76715522408636E-18
6.4	34.765625	1.62596249858088E-17
6.4	35.15625	2.27178093040235E-17
6.4	35.546875	4.80190553010626E-18
6.4	35.9375	1.46517015436624E-18
6.4	36.328125	4.6824647112267E-18
6.4	36.71875	4.71665102919735E-18
6.4	37.109375	3.49137034013316E-19
6.4	37.5	1.16201310778756E-18
6.4	37.890625	3.97562353158139E-18
6.4	38.28125	1.08959020406792E-18
6.4	38.671875	1.89813950426301E-18
6.4	39.0625	4.15912373111722E-19
6.4	39.453125	1.70650404782489E-18
6.4	39.84375	1.80384293116779E-18
6.4	40.234375	1.34364199373663E-18
6.4	40.625	3.53686999251638E-18
6.4	41.015625	3.74894419823049E-18
6.4	41.40625	7.1131015084278E-18
6.4	41.796875	5.72290746133758E-18
6.4	42.1875	6.75444703353106E-18
6.4	42.578125	4.44321915568404E-18
6.4	42.96875	9.53496585939655E-19
6.4	43.359375	1.41802238124925E-18
6.4	43.75	1.08469950014708E-18
6.4	44.140625	5.92508451199186E-19
6.4	44.53125	1.8926056001071E-19
6.4	44.921875	3.11223584583872E-19
6.4	45.3125	1.93457603334997E-20
6.4	45.703125	8.79723960685828E-20
6.4	46.09375	1.40030819271898E-19
6.4	46.484375	3.13449562533502E-20
6.4	46.875	3.89710991263654E-21
6.4	47.265625	4.04864677821432E-21
6.4	47.65625	1.75212961050111E-21
6.4	48.046875	6.54908308428683E-23
6.4	48.4375	3.52356519517171E-22
6.4	48.828125	1.62422813960462E-22
6.4	49.21875	4.40180666356759E-23
6.4	49.609375	1.15749587233978E-22
6.4	50	4.78907552392425E-22
8.96	0	2.26068018852314E-15
8.96	0.390625	2.36837838147279E-15
8.96	0.78125	2.38419457884049E-16
8.96	1.171875	1.43265965785964E-16
8.96	1.5625	1.72783019501631E-16
8.96	1.953125	3.66926920969233E-19
8.96	2.34375	1.14486897514121E-17
8.96	2.734375	2.40266491624711E-17
8.96	3.125	1.23177957103628E-17
8.96	3.515625	5.2999743348717E-18
8.96	3.90625	4.42592616224373E-18
8.96	4.296875	1.04234201798058E-17
8.96	4.6875	1.93252930377957E-17
8.96	5.078125	3.75785507927927E-18
8.96	5.46875	3.02366916342806E-17
8.96	5.859375	9.27129002631296E-18
8.96	6.25	1.38184999867201E-17
8.96	6.640625	2.41515591384261E-18
8.96	7.03125	1.96361033053641E-17
8.96	7.421875	1.70939323451815E-17
8.96	7.8125	1.5959270483781E-18
8.96	8.203125	2.88443585923545E-18
8.96	8.59375	3.6156038357476E-18
8.96	8.984375	1.15374318949264E-17
8.96	9.375	1.97162684329748E-18
8.96	9.765625	3.76017358902518E-18
8.96	10.15625	9.56220787087762E-18
8.96	10.546875	1.68957299269541E-17
8.96	10.9375	2.80284225128911E-18
8.96	11.328125	3.70604541503042E-18
8.96	11.71875	1.5900268993609E-17
8.96	12.109375	2.92902604522822E-17
8.96	12.5	1.06069899169864E-17
8.96	12.890625	3.41124270198272E-19
8.96	13.28125	3.22333238440449E-18
8.96	13.671875	6.69950645350659E-18
8.96	14.0625	5.60853275491865E-18
8.96	14.453125	7.64227452396454E-18
8.96	14.84375	2.01704580440531E-18
8.96	15.234375	1.95290680630808E-18
8.96	15.625	8.60016199871165E-19
8.96	16.015625	3.93305672367781E-19
8.96	16.40625	4.89389679311086E-19
8.96	16.796875	4.10551790465125E-19
8.96	17.1875	1.52438954102404E-18
8.96	17.578125	3.91791099248054E-18
8.96	17.96875	2.29541330179956E-18
8.96	18.359375	6.47383030433994E-18
8.96	18.75	4.62716353380575E-18
8.96	19.140625	7.51279737967287E-21
8.96	19.53125	1.83936999727498E-18
8.96	19.921875	4.79518040428289E-18
8.96	20.3125	1.85082918877943E-18
8.96	20.703125	6.68639489334619E-18
8.96	21.09375	1.98328769472844E-18
8.96	21.484375	6.55167944228755E-18
8.96	21.875	1.18313343070882E-18
8.96	22.265625	4.84481442659439E-18
8.96	22.65625	3.10374128561909E-18
8.96	23.046875	1.31289438750203E-18
8.96	23.4375	1.07777580441748E-17
8.96	23.828125	2.74928803468943E-17
8.96	24.21875	1.79450767118277E-17
8.96	24.609375	4.49760531033838E-18
8.96	25	1.14251468274592E-17
8.96	25.390625	2.1587768358906E-17
8.96	25.78125	1.84480720690434E-17
8.96	26.171875	4.03992711357462E-18
8.96	26.5625	1.43598801137505E-18
8.96	26.953125	1.20722315506754E-18
8.96	27.34375	1.9526816229538E-18
8.96	27.734375	7.44327790967088E-18
8.96	28.125	9.17330246001484E-18
8.96	28.515625	5.39051055792796E-19
8.96	28.90625	7.1513136097689E-18
8.96	29.296875	3.88237578856623E-20
8.96	29.6875	1.74186602974721E-17
8.96	30.078125	1.25983082905677E-17
8.96	30.46875	7.12608268282003E-19
8.96	30.859375	3.10493402327185E-18
8.96	31.25	5.53770160490176E-18
8.96	31.640625	4.69262901982313E-18
8.96	32.03125	1.61074696303548E-20
8.96	32.421875	9.29063807654465E-19
8.96	32.8125	1.20692716296947E-17
8.96	33.203125	2.41768635339413E-17
8.96	33.59375	1.0874375809017E-17
